Algorithm,Build Time (ms),Search Time (ms),Memory (MB),Accuracy,Compression,Status,Top Result
Flat L2,N/A,N/A,N/A,N/A,1x,failed,
Cascade Search,N/A,N/A,N/A,N/A,1x,failed,
Ivf Scalar Quantizer,N/A,N/A,N/A,N/A,1x,failed,
Scalar Quantizer,N/A,N/A,N/A,N/A,1x,failed,
Shards,N/A,N/A,N/A,N/A,1x,failed,
Idmap,N/A,N/A,N/A,N/A,1x,failed,
Binary Ivf,N/A,N/A,N/A,N/A,1x,failed,
Ensemble Search,N/A,N/A,N/A,N/A,1x,failed,
Binary Flat,N/A,N/A,N/A,N/A,1x,failed,
Gpu Flat,N/A,N/A,N/A,N/A,1x,failed,
Lsh,N/A,N/A,N/A,N/A,1x,failed,
Pq,N/A,N/A,N/A,N/A,1x,failed,
Hnsw,N/A,N/A,N/A,N/A,1x,failed,
Ivf,N/A,N/A,N/A,N/A,1x,failed,
Flat Ip,N/A,N/A,N/A,N/A,1x,failed,
Gpu Ivfpq,N/A,N/A,N/A,N/A,1x,failed,
Adaptive Search,N/A,N/A,N/A,N/A,1x,failed,
