Algorithm,Average_Score,Query_1_Score,Query_2_Score,Query_3_Score,Query_4_Score,Query_5_Score
binary_flat,0.17777777777777776,0.8888888888888888,0.0,0.0,0.0,0.0
binary_ivf,0.17777777777777776,0.8888888888888888,0.0,0.0,0.0,0.0
pq,0.15,0.5,0.0,0.08333333333333333,0.16666666666666666,0.0
ensemble_search,0.13055555555555556,0.3611111111111111,0.0,0.125,0.16666666666666666,0.0
cascade_search,0.13055555555555556,0.3611111111111111,0.0,0.125,0.16666666666666666,0.0
ivf_scalar_quantizer,0.13055555555555556,0.3611111111111111,0.0,0.125,0.16666666666666666,0.0
scalar_quantizer,0.13055555555555556,0.3611111111111111,0.0,0.125,0.16666666666666666,0.0
shards,0.13055555555555556,0.3611111111111111,0.0,0.125,0.16666666666666666,0.0
idmap,0.13055555555555556,0.3611111111111111,0.0,0.125,0.16666666666666666,0.0
flat_l2,0.13055555555555556,0.3611111111111111,0.0,0.125,0.16666666666666666,0.0
flat_ip,0.13055555555555556,0.3611111111111111,0.0,0.125,0.16666666666666666,0.0
gpu_ivfpq,0.13055555555555556,0.3611111111111111,0.0,0.125,0.16666666666666666,0.0
gpu_flat,0.13055555555555556,0.3611111111111111,0.0,0.125,0.16666666666666666,0.0
hnsw,0.13055555555555556,0.3611111111111111,0.0,0.125,0.16666666666666666,0.0
ivf,0.13055555555555556,0.3611111111111111,0.0,0.125,0.16666666666666666,0.0
adaptive_search,0.13055555555555556,0.3611111111111111,0.0,0.125,0.16666666666666666,0.0
lsh,0.02222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0
